Reporting Economy,Product/Sector,Partner Economy,2015,2016,2017,2018,2019,2020
French Polynesia,SI3_AGG - TO - Total merchandise,World,130.0,173.0,153.0,148.0,136.0,108.0
G-20,SI3_AGG - TO - Total merchandise,World,12744107.0,12369084.0,13623243.0,14947450.0,14598179.0,13566119.0
G-7 (Group of Seven),SI3_AGG - TO - Total merchandise,World,5292866.0,5194181.0,5597172.0,6031595.0,5863074.0,5233348.0
Gabon,SI3_AGG - TO - Total merchandise,World,5113.0,4345.0,5468.0,6504.0,6620.0,4903.0
The Gambia,SI3_AGG - TO - Total merchandise,World,115.0,105.0,124.0,140.0,133.0,61.0
Georgia,SI3_AGG - TO - Total merchandise,World,2204.0,2117.0,2746.0,3380.0,3798.0,3343.0
Germany,SI3_AGG - TO - Total merchandise,World,1326206.0,1334355.0,1448191.0,1560539.0,1489412.0,1380647.0
Ghana,SI3_AGG - TO - Total merchandise,World,10321.0,11138.0,13835.0,14943.0,15668.0,14472.0
Gibraltar,SI3_AGG - TO - Total merchandise,World,,307.0,,,,
Greece,SI3_AGG - TO - Total merchandise,World,28554.0,28151.0,32627.0,39502.0,37907.0,35169.0
Greenland,SI3_AGG - TO - Total merchandise,World,406.0,575.0,596.0,699.0,826.0,766.0
Grenada,SI3_AGG - TO - Total merchandise,World,33.0,30.0,30.0,31.0,32.0,22.0
Guam,SI3_AGG - TO - Total merchandise,World,32.0,33.0,33.0,34.0,32.0,36.0
Guatemala,SI3_AGG - TO - Total merchandise,World,10677.0,10447.0,10990.0,10769.0,11175.0,11521.0
Guinea,SI3_AGG - TO - Total merchandise,World,1781.0,2414.0,4594.0,3978.0,3945.0,5595.0
Guinea-Bissau,SI3_AGG - TO - Total merchandise,World,252.0,277.0,339.0,339.0,249.0,198.0
Gulf Cooperation Council (GCC),SI3_AGG - TO - Total merchandise,World,684587.0,624990.0,706175.0,898315.0,845237.0,630503.0
Guyana,SI3_AGG - TO - Total merchandise,World,1151.0,1441.0,1437.0,1377.0,1567.0,2587.0
Haiti,SI3_AGG - TO - Total merchandise,World,882.0,986.0,980.0,1078.0,1200.0,721.0
Honduras,SI3_AGG - TO - Total merchandise,World,8226.0,7960.0,8656.0,8644.0,8788.0,7683.0
"Hong Kong, China",SI3_AGG - TO - Total merchandise,World,510486.0,516635.0,549865.0,568456.0,534887.0,548773.0
Hungary,SI3_AGG - TO - Total merchandise,World,98524.0,101919.0,113806.0,124705.0,123796.0,120311.0
Iceland,SI3_AGG - TO - Total merchandise,World,4732.0,4436.0,4878.0,5556.0,5223.0,4586.0
India,SI3_AGG - TO - Total merchandise,World,267951.0,264542.0,299241.0,324778.0,324340.0,276302.0
Indonesia,SI3_AGG - TO - Total merchandise,World,150366.0,144490.0,168811.0,180124.0,167683.0,163306.0
Iran,SI3_AGG - TO - Total merchandise,World,70275.0,72903.0,92764.0,103422.0,65718.0,53543.0
Iraq,SI3_AGG - TO - Total merchandise,World,57577.0,46830.0,63604.0,92831.0,82309.0,41738.0
Ireland,SI3_AGG - TO - Total merchandise,World,123361.0,130864.0,137359.0,164794.0,169625.0,179772.0
Israel,SI3_AGG - TO - Total merchandise,World,64063.0,60571.0,61150.0,61952.0,58507.0,49763.0
Italy,SI3_AGG - TO - Total merchandise,World,456990.0,461737.0,507418.0,549526.0,537718.0,496120.0
Jamaica,SI3_AGG - TO - Total merchandise,World,1263.0,1202.0,1310.0,1878.0,1586.0,1219.0
Japan,SI3_AGG - TO - Total merchandise,World,624921.0,645052.0,698329.0,738143.0,705564.0,641319.0
Jordan,SI3_AGG - TO - Total merchandise,World,7833.0,7549.0,7511.0,7750.0,8317.0,7943.0
Kazakhstan,SI3_AGG - TO - Total merchandise,World,45956.0,36685.0,48304.0,60956.0,57309.0,46447.0
Kenya,SI3_AGG - TO - Total merchandise,World,5906.0,5695.0,5747.0,6052.0,5839.0,6034.0
Kiribati,SI3_AGG - TO - Total merchandise,World,10.0,11.0,15.0,8.0,12.0,9.0
"Korea, Democratic People's Republic of",SI3_AGG - TO - Total merchandise,World,4152.0,3006.0,1770.0,251.0,280.0,110.0
"Korea, Republic of",SI3_AGG - TO - Total merchandise,World,526757.0,495426.0,573694.0,604860.0,542233.0,512498.0
"Kuwait, the State of",SI3_AGG - TO - Total merchandise,World,54122.0,46273.0,55015.0,71938.0,64483.0,40116.0
Kyrgyz Republic,SI3_AGG - TO - Total merchandise,World,1441.0,1573.0,1764.0,1837.0,1986.0,2006.0
Landlocked developing countries,SI3_AGG - TO - Total merchandise,World,156217.0,140067.0,163451.0,193059.0,189948.0,167441.0
Lao People's Democratic Republic,SI3_AGG - TO - Total merchandise,World,3653.0,4245.0,4873.0,5408.0,5806.0,6115.0
Latvia,SI3_AGG - TO - Total merchandise,World,12286.0,12294.0,14126.0,16166.0,15705.0,16201.0
LDC exporters of agriculture,SI3_AGG - TO - Total merchandise,World,14136.0,14793.0,16880.0,18879.0,18983.0,20197.0
LDC exporters of manufactures,SI3_AGG - TO - Total merchandise,World,45500.0,49780.0,52727.0,58148.0,60089.0,55273.0
LDC non-fuel mineral exporters,SI3_AGG - TO - Total merchandise,World,35619.0,34593.0,45842.0,55539.0,48309.0,51976.0
LDC oil exporters,SI3_AGG - TO - Total merchandise,World,54858.0,47155.0,58290.0,67654.0,63384.0,46546.0
Least-developed countries,SI3_AGG - TO - Total merchandise,World,152859.0,150694.0,179890.0,207366.0,198941.0,180843.0
Lebanese Republic,SI3_AGG - TO - Total merchandise,World,3982.0,3930.0,4026.0,3830.0,4829.0,4085.0
Lesotho,SI3_AGG - TO - Total merchandise,World,929.0,881.0,1028.0,1221.0,1063.0,888.0
Liberia,SI3_AGG - TO - Total merchandise,World,283.0,279.0,358.0,548.0,543.0,608.0
Libya,SI3_AGG - TO - Total merchandise,World,11392.0,9446.0,18865.0,29830.0,25732.0,7741.0
Lithuania,SI3_AGG - TO - Total merchandise,World,25392.0,25010.0,29901.0,33337.0,33151.0,32767.0
Luxembourg,SI3_AGG - TO - Total merchandise,World,17139.0,15796.0,15761.0,16412.0,16451.0,13803.0
"Macao, China",SI3_AGG - TO - Total merchandise,World,1339.0,1257.0,1406.0,1510.0,1586.0,1353.0
Madagascar,SI3_AGG - TO - Total merchandise,World,2048.0,2254.0,2848.0,3110.0,2696.0,1987.0
Malawi,SI3_AGG - TO - Total merchandise,World,1080.0,1022.0,884.0,880.0,913.0,767.0
Malaysia,SI3_AGG - TO - Total merchandise,World,199952.0,189743.0,218130.0,247455.0,238195.0,234127.0
Maldives,SI3_AGG - TO - Total merchandise,World,240.0,256.0,318.0,339.0,361.0,286.0
Mali,SI3_AGG - TO - Total merchandise,World,2717.0,2826.0,2896.0,3584.0,3675.0,3923.0
Malta,SI3_AGG - TO - Total merchandise,World,2607.0,3186.0,2858.0,3192.0,3007.0,2680.0
Marshall Islands,SI3_AGG - TO - Total merchandise,World,52.0,36.0,40.0,41.0,55.0,44.0
Mauritania,SI3_AGG - TO - Total merchandise,World,1832.0,1623.0,1989.0,2052.0,2266.0,2830.0
Mauritius,SI3_AGG - TO - Total merchandise,World,2662.0,2359.0,2342.0,2366.0,2223.0,1791.0
Mexico,SI3_AGG - TO - Total merchandise,World,380550.0,373948.0,409433.0,450713.0,460704.0,417670.0
"Micronesia, Federated States of",SI3_AGG - TO - Total merchandise,World,40.0,49.0,46.0,47.0,49.0,50.0
Middle East,SI3_AGG - TO - Total merchandise,World,893127.0,820210.0,939542.0,1172602.0,1069268.0,791878.0
"Moldova, Republic of",SI3_AGG - TO - Total merchandise,World,1967.0,2045.0,2425.0,2706.0,2779.0,2485.0
Mongolia,SI3_AGG - TO - Total merchandise,World,4669.0,4916.0,6201.0,7012.0,7620.0,7576.0
Montenegro,SI3_AGG - TO - Total merchandise,World,352.0,361.0,421.0,472.0,465.0,419.0
Montserrat,SI3_AGG - TO - Total merchandise,World,3.0,4.0,6.0,5.0,6.0,6.0
Morocco,SI3_AGG - TO - Total merchandise,World,22334.0,22661.0,25272.0,28609.0,29132.0,27159.0
Mozambique,SI3_AGG - TO - Total merchandise,World,3413.0,3328.0,4725.0,5012.0,4669.0,3589.0
Myanmar,SI3_AGG - TO - Total merchandise,World,11429.0,11831.0,13879.0,16704.0,17997.0,16692.0
Namibia,SI3_AGG - TO - Total merchandise,World,4067.0,4084.0,5229.0,7488.0,6256.0,5600.0
Nauru,SI3_AGG - TO - Total merchandise,World,11.0,18.0,15.0,9.0,19.0,60.0
Nepal,SI3_AGG - TO - Total merchandise,World,721.0,696.0,742.0,786.0,968.0,856.0
Netherlands,SI3_AGG - TO - Total merchandise,World,570442.0,570606.0,652065.0,726697.0,708596.0,674870.0
New Caledonia,SI3_AGG - TO - Total merchandise,World,1219.0,1330.0,1561.0,1929.0,1700.0,1665.0
New Zealand,SI3_AGG - TO - Total merchandise,World,34355.0,33756.0,38075.0,39673.0,39517.0,38919.0
Nicaragua,SI3_AGG - TO - Total merchandise,World,4839.0,4782.0,5170.0,5014.0,5273.0,5087.0
Niger,SI3_AGG - TO - Total merchandise,World,1087.0,1032.0,1206.0,1202.0,1126.0,998.0
Nigeria,SI3_AGG - TO - Total merchandise,World,50216.0,33302.0,44468.0,60547.0,62531.0,35634.0
Niue,SI3_AGG - TO - Total merchandise,World,0.0,1.0,2.0,2.0,2.0,1.0
Non-EU south-eastern Europe,SI3_AGG - TO - Total merchandise,World,176260.0,176559.0,196270.0,213830.0,217410.0,204860.0
Non-EU western Europe,SI3_AGG - TO - Total merchandise,World,865941.0,808685.0,848886.0,926727.0,894111.0,815363.0
North America,SI3_AGG - TO - Total merchandise,World,2293208.0,2214972.0,2376394.0,2565463.0,2550477.0,2239896.0
North American Free Trade Agreement (NAFTA),SI3_AGG - TO - Total merchandise,World,2293185.0,2214950.0,2376371.0,2565438.0,2550450.0,2239880.0
North Macedonia,SI3_AGG - TO - Total merchandise,World,4536.0,4790.0,5668.0,6911.0,7189.0,6635.0
Northern Mariana Islands,SI3_AGG - TO - Total merchandise,World,2.0,6.0,5.0,5.0,5.0,3.0
Norway,SI3_AGG - TO - Total merchandise,World,103915.0,88410.0,101054.0,121791.0,102799.0,84459.0
OIC (Organisation of Islamic Cooperation),SI3_AGG - TO - Total merchandise,World,1683615.0,1560214.0,1806862.0,2164950.0,2042242.0,1658512.0
Oman,SI3_AGG - TO - Total merchandise,World,31927.0,30014.0,32904.0,41761.0,38724.0,31685.0
OPEC (Organization of the Petroleum Exporting Countries),SI3_AGG - TO - Total merchandise,World,873003.0,788820.0,930782.0,1182005.0,1057005.0,730881.0
Other Africa,SI3_AGG - TO - Total merchandise,World,316665.0,287664.0,345719.0,415756.0,388634.0,300498.0
Other Asia,SI3_AGG - TO - Total merchandise,World,904529.0,903228.0,1037250.0,1135931.0,1135608.0,1112477.0
Other CIS,SI3_AGG - TO - Total merchandise,World,116640.0,97693.0,120940.0,147082.0,146002.0,120220.0
Pacific Alliance,SI3_AGG - TO - Total merchandise,World,512691.0,503505.0,560574.0,616263.0,616646.0,564574.0
Pakistan,SI3_AGG - TO - Total merchandise,World,22089.0,20375.0,21569.0,23425.0,23329.0,21961.0
Palau,SI3_AGG - TO - Total merchandise,World,6.0,7.0,6.0,4.0,4.0,3.0
Panama,SI3_AGG - TO - Total merchandise,World,11348.0,11195.0,11093.0,11480.0,11318.0,9483.0
Papua New Guinea,SI3_AGG - TO - Total merchandise,World,8453.0,8194.0,9952.0,10524.0,11399.0,9229.0
Paraguay,SI3_AGG - TO - Total merchandise,World,8357.0,8494.0,8680.0,9045.0,7652.0,8529.0
Peru,SI3_AGG - TO - Total merchandise,World,34415.0,37082.0,45422.0,49068.0,47690.0,42411.0
Philippines,SI3_AGG - TO - Total merchandise,World,58827.0,57406.0,68713.0,69307.0,70927.0,63767.0
Poland,SI3_AGG - TO - Total merchandise,World,199124.0,203817.0,234364.0,263569.0,266595.0,271059.0
Portugal,SI3_AGG - TO - Total merchandise,World,55047.0,55372.0,62130.0,68361.0,67063.0,61531.0
Qatar,SI3_AGG - TO - Total merchandise,World,77971.0,57309.0,67498.0,84288.0,72935.0,51504.0
Romania,SI3_AGG - TO - Total merchandise,World,60595.0,63534.0,70761.0,79660.0,76867.0,70721.0
Russian Federation,SI3_AGG - TO - Total merchandise,World,341419.0,281710.0,352943.0,443914.0,419850.0,332227.0
Rwanda,SI3_AGG - TO - Total merchandise,World,682.0,731.0,1037.0,1122.0,1241.0,1408.0
Saint Kitts and Nevis,SI3_AGG - TO - Total merchandise,World,55.0,51.0,50.0,54.0,58.0,52.0
Saint Lucia,SI3_AGG - TO - Total merchandise,World,180.0,120.0,127.0,62.0,82.0,55.0
Saint Martin,SI3_AGG - TO - Total merchandise,World,129.0,132.0,123.0,148.0,181.0,134.0
Saint Pierre and Miquelon,SI3_AGG - TO - Total merchandise,World,1.0,3.0,5.0,7.0,8.0,5.0
Saint Vincent and the Grenadines,SI3_AGG - TO - Total merchandise,World,46.0,47.0,42.0,44.0,38.0,54.0
Samoa,SI3_AGG - TO - Total merchandise,World,59.0,56.0,44.0,46.0,49.0,37.0
Sao Tomé and Principe,SI3_AGG - TO - Total merchandise,World,11.0,14.0,15.0,16.0,13.0,14.0
"Saudi Arabia, Kingdom of",SI3_AGG - TO - Total merchandise,World,203550.0,183579.0,221835.0,294373.0,261603.0,173854.0
Senegal,SI3_AGG - TO - Total merchandise,World,2612.0,2640.0,2989.0,3623.0,4179.0,3929.0
Serbia,SI3_AGG - TO - Total merchandise,World,13376.0,14874.0,16992.0,19227.0,19630.0,19498.0
Seychelles,SI3_AGG - TO - Total merchandise,World,415.0,460.0,547.0,569.0,518.0,432.0
Sierra Leone,SI3_AGG - TO - Total merchandise,World,512.0,624.0,567.0,554.0,619.0,368.0
Singapore,SI3_AGG - TO - Total merchandise,World,351587.0,330481.0,373446.0,412955.0,390763.0,362534.0
Six East Asian traders,SI3_AGG - TO - Total merchandise,World,2088434.0,2027994.0,2269019.0,2422591.0,2282969.0,2236594.0
Slovak Republic,SI3_AGG - TO - Total merchandise,World,75146.0,77060.0,83414.0,93425.0,89509.0,86104.0
Slovenia,SI3_AGG - TO - Total merchandise,World,31929.0,32917.0,38443.0,44200.0,44943.0,44797.0
Solomon Islands,SI3_AGG - TO - Total merchandise,World,400.0,437.0,500.0,569.0,461.0,366.0
South Africa,SI3_AGG - TO - Total merchandise,World,81002.0,76214.0,88947.0,93970.0,90016.0,85834.0
South and Central America and the Caribbean,SI3_AGG - TO - Total merchandise,World,542149.0,516794.0,585212.0,634328.0,594108.0,537002.0
South Asian Association for Regional Cooperation (SAARC),SI3_AGG - TO - Total merchandise,World,335047.0,332195.0,370378.0,401951.0,401813.0,344441.0
Southern African Development Community (SADC),SI3_AGG - TO - Total merchandise,World,160315.0,148622.0,176761.0,200968.0,180060.0,160209.0
"Southern Common Market (MERCOSUR) excluding Venezuela, Bolivarian Republic of",SI3_AGG - TO - Total merchandise,World,263962.0,258679.0,292952.0,317588.0,305832.0,280148.0
Spain,SI3_AGG - TO - Total merchandise,World,282274.0,289981.0,319531.0,346754.0,334018.0,307015.0
Sri Lanka,SI3_AGG - TO - Total merchandise,World,10547.0,10310.0,11360.0,11890.0,11940.0,10047.0
Sudan,SI3_AGG - TO - Total merchandise,World,3169.0,3094.0,4100.0,3478.0,3735.0,3803.0
Suriname,SI3_AGG - TO - Total merchandise,World,1652.0,1439.0,1992.0,2070.0,2127.0,2345.0
Sweden,SI3_AGG - TO - Total merchandise,World,140023.0,139290.0,152920.0,165968.0,160576.0,155601.0
Switzerland,SI3_AGG - TO - Total merchandise,World,289720.0,302900.0,299603.0,310749.0,313934.0,319318.0
Syrian Arab Republic,SI3_AGG - TO - Total merchandise,World,887.0,713.0,712.0,624.0,507.0,868.0
Chinese Taipei,SI3_AGG - TO - Total merchandise,World,285344.0,280321.0,317249.0,335909.0,330622.0,347193.0
Tajikistan,SI3_AGG - TO - Total merchandise,World,891.0,899.0,1198.0,1073.0,1174.0,1407.0
Tanzania,SI3_AGG - TO - Total merchandise,World,4834.0,4500.0,4113.0,4041.0,5005.0,6061.0
Thailand,SI3_AGG - TO - Total merchandise,World,214310.0,215388.0,236635.0,252957.0,246269.0,231468.0
Timor-Leste,SI3_AGG - TO - Total merchandise,World,18.0,20.0,23.0,45.0,154.0,264.0
Togo,SI3_AGG - TO - Total merchandise,World,1011.0,1036.0,1016.0,1080.0,1055.0,1008.0
Tokelau,SI3_AGG - TO - Total merchandise,World,0.0,0.0,0.0,0.0,0.0,0.0
Tonga,SI3_AGG - TO - Total merchandise,World,18.0,21.0,19.0,13.0,20.0,15.0
Trinidad and Tobago,SI3_AGG - TO - Total merchandise,World,10748.0,7633.0,8741.0,10530.0,7192.0,5216.0
Tunisia,SI3_AGG - TO - Total merchandise,World,14073.0,13572.0,14204.0,15534.0,14933.0,13813.0
Turkey,SI3_AGG - TO - Total merchandise,World,150982.0,149247.0,164495.0,177169.0,180833.0,169651.0
