Indicator,  Merchandise exports by product group – annual (Million US dollar),,,,,,,
,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2015,2016,2017,2018,2019,2020
Austria,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1609,1801,1907,2090,1981,1952
Austria,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,6137,5681,6746,6966,5336,4991
Austria,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1647,1635,1790,1932,1780,1529
Austria,SI3_AGG - MAMTTE - Transport equipment,World,21873,22892,24739,27179,28064,23904
Austria,SI3_AGG - MAMTAU - Automotive products,World,15898,16935,18349,20714,21463,17761
Austria,SI3_AGG - MATE - Textiles,World,2006,1975,2048,2144,2017,2206
Austria,SI3_AGG - MACL - Clothing,World,2426,2668,2897,3161,3290,2966
Azerbaijan,SI3_AGG - TO - Total merchandise,World,16592,13108,15481,20317,19636,13470
Azerbaijan,SI3_AGG - AG - Agricultural products,World,774,542,699,787,899,896
Azerbaijan,SI3_AGG - AGFO - Food,World,761,521,654,701,768,754
Azerbaijan,SI3_AGG - MI - Fuels and mining products,World,14248,12147,14053,18057,17996,12096
Azerbaijan,SI3_AGG - MIFU - Fuels,World,14138,12000,13867,17879,17800,11981
Azerbaijan,SI3_AGG - MA - Manufactures,World,350,417,426,487,565,478
Azerbaijan,SI3_AGG - MAIS - Iron and steel,World,29,88,77,78,47,44
Azerbaijan,SI3_AGG - MACH - Chemicals,World,190,153,179,195,279,246
Azerbaijan,SI3_AGG - MACHPH - Pharmaceuticals,World,1,2,1,2,1,1
Azerbaijan,SI3_AGG - MAMT - Machinery and transport equipment,World,52,99,58,72,89,70
Azerbaijan,SI3_AGG - MAMTOF - Office and telecom equipment,World,2,3,3,6,5,20
Azerbaijan,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,1,2,3,2,18
Azerbaijan,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1,2,1,3,3,2
Azerbaijan,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0
Azerbaijan,SI3_AGG - MAMTTE - Transport equipment,World,3,61,11,10,17,6
Azerbaijan,SI3_AGG - MAMTAU - Automotive products,World,2,16,9,4,8,2
Azerbaijan,SI3_AGG - MATE - Textiles,World,27,30,41,52,59,46
Azerbaijan,SI3_AGG - MACL - Clothing,World,1,2,2,1,1,2
Bahamas,SI3_AGG - TO - Total merchandise,World,521,481,571,642,669,354
Bahamas,SI3_AGG - AG - Agricultural products,World,69,79,89,87,81,79
Bahamas,SI3_AGG - AGFO - Food,World,65,75,86,84,77,76
Bahamas,SI3_AGG - MI - Fuels and mining products,World,95,54,84,120,101,105
Bahamas,SI3_AGG - MIFU - Fuels,World,70,46,73,102,80,89
Bahamas,SI3_AGG - MA - Manufactures,World,279,270,300,316,356,165
Bahamas,SI3_AGG - MAIS - Iron and steel,World,1,2,1,2,2,1
Bahamas,SI3_AGG - MACH - Chemicals,World,146,122,134,148,140,110
Bahamas,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0
Bahamas,SI3_AGG - MAMT - Machinery and transport equipment,World,89,98,116,117,136,49
Bahamas,SI3_AGG - MAMTOF - Office and telecom equipment,World,6,5,16,3,5,8
Bahamas,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,3,2,2,1,2,4
Bahamas,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1,2,13,2,3,4
Bahamas,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,3,1,1,0,0,0
Bahamas,SI3_AGG - MAMTTE - Transport equipment,World,48,58,40,61,71,25
Bahamas,SI3_AGG - MAMTAU - Automotive products,World,6,25,7,4,1,1
Bahamas,SI3_AGG - MATE - Textiles,World,1,2,1,2,3,5
Bahamas,SI3_AGG - MACL - Clothing,World,4,0,0,0,0,0
"Bahrain, Kingdom of",SI3_AGG - TO - Total merchandise,World,16540,12785,15376,18044,18120,14066
"Bahrain, Kingdom of",SI3_AGG - AG - Agricultural products,World,456,377,535,605,625,599
"Bahrain, Kingdom of",SI3_AGG - AGFO - Food,World,447,368,521,595,613,587
"Bahrain, Kingdom of",SI3_AGG - MI - Fuels and mining products,World,10099,8541,11191,13564,13260,9540
"Bahrain, Kingdom of",SI3_AGG - MIFU - Fuels,World,7739,6082,8411,10594,9895,5938
"Bahrain, Kingdom of",SI3_AGG - MA - Manufactures,World,5808,3797,3596,3788,3845,3728
"Bahrain, Kingdom of",SI3_AGG - MAIS - Iron and steel,World,488,473,515,679,464,615
"Bahrain, Kingdom of",SI3_AGG - MACH - Chemicals,World,838,626,766,805,858,801
"Bahrain, Kingdom of",SI3_AGG - MACHPH - Pharmaceuticals,World,1,1,0,1,1,2
"Bahrain, Kingdom of",SI3_AGG - MAMT - Machinery and transport equipment,World,2135,1292,947,869,1095,1268
"Bahrain, Kingdom of",SI3_AGG - MAMTOF - Office and telecom equipment,World,547,223,69,55,88,127
"Bahrain, Kingdom of",SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,370,130,46,28,43,68
"Bahrain, Kingdom of",SI3_AGG - MAMTOTTL - Telecommunications equipment,World,168,90,22,26,43,56
"Bahrain, Kingdom of",SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,9,4,1,0,2,3
"Bahrain, Kingdom of",SI3_AGG - MAMTTE - Transport equipment,World,730,465,580,509,638,657
"Bahrain, Kingdom of",SI3_AGG - MAMTAU - Automotive products,World,542,223,493,400,500,445
"Bahrain, Kingdom of",SI3_AGG - MATE - Textiles,World,144,151,157,204,187,134
"Bahrain, Kingdom of",SI3_AGG - MACL - Clothing,World,795,322,129,90,71,49
Bangladesh,SI3_AGG - TO - Total merchandise,World,32379,34894,35851,39252,39337,33605
Bangladesh,SI3_AGG - AG - Agricultural products,World,1096,1182,1152,1116,1208,1204
Bangladesh,SI3_AGG - AGFO - Food,World,859,903,904,891,954,946
Bangladesh,SI3_AGG - MI - Fuels and mining products,World,233,139,180,157,125,111
Bangladesh,SI3_AGG - MIFU - Fuels,World,178,52,54,26,20,24
Bangladesh,SI3_AGG - MA - Manufactures,World,30404,32891,34444,37893,37936,32218
Bangladesh,SI3_AGG - MAIS - Iron and steel,World,20,6,7,10,7,23
Bangladesh,SI3_AGG - MACH - Chemicals,World,137,133,137,181,189,175
Bangladesh,SI3_AGG - MACHPH - Pharmaceuticals,World,69,60,75,93,100,103
Bangladesh,SI3_AGG - MAMT - Machinery and transport equipment,World,397,179,186,233,261,243
Bangladesh,SI3_AGG - MAMTOF - Office and telecom equipment,World,16,15,13,16,23,23
Bangladesh,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,4,4,4,4,3,4
Bangladesh,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,6,9,7,11,15,13
Bangladesh,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,7,3,2,2,5,6
Bangladesh,SI3_AGG - MAMTTE - Transport equipment,World,168,104,96,120,157,147
Bangladesh,SI3_AGG - MAMTAU - Automotive products,World,15,0,0,1,1,1
Bangladesh,SI3_AGG - MATE - Textiles,World,1626,1564,1677,1616,1548,1677
Bangladesh,SI3_AGG - MACL - Clothing,World,26603,28668,29213,32927,33072,27471
Barbados,SI3_AGG - TO - Total merchandise,World,483,517,485,448,444,345
Barbados,SI3_AGG - AG - Agricultural products,World,93,95,109,96,89,82
Barbados,SI3_AGG - AGFO - Food,World,92,95,109,96,89,82
Barbados,SI3_AGG - MI - Fuels and mining products,World,92,79,110,125,134,98
Barbados,SI3_AGG - MIFU - Fuels,World,90,77,108,121,127,92
Barbados,SI3_AGG - MA - Manufactures,World,292,337,261,226,217,161
Barbados,SI3_AGG - MAIS - Iron and steel,World,0,0,1,0,0,0
Barbados,SI3_AGG - MACH - Chemicals,World,76,72,72,63,55,61
Barbados,SI3_AGG - MACHPH - Pharmaceuticals,World,49,46,35,30,27,24
Barbados,SI3_AGG - MAMT - Machinery and transport equipment,World,33,30,30,20,20,23
Barbados,SI3_AGG - MAMTOF - Office and telecom equipment,World,8,8,4,3,3,2
Barbados,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,1,1,1,1,1
Barbados,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,6,7,2,2,2,0
Barbados,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,1,1
Barbados,SI3_AGG - MAMTTE - Transport equipment,World,13,8,9,4,7,9
Barbados,SI3_AGG - MAMTAU - Automotive products,World,11,3,3,3,3,2
Barbados,SI3_AGG - MATE - Textiles,World,2,3,3,2,2,2
Barbados,SI3_AGG - MACL - Clothing,World,11,13,16,9,6,4
Belarus,SI3_AGG - TO - Total merchandise,World,26660,23537,29241,33907,32960,29034
Belarus,SI3_AGG - AG - Agricultural products,World,4706,4580,5534,6000,6414,6686
Belarus,SI3_AGG - AGFO - Food,World,4169,4016,4827,5047,5336,5516
Belarus,SI3_AGG - MI - Fuels and mining products,World,8015,5139,7255,8846,7216,4047
Belarus,SI3_AGG - MIFU - Fuels,World,7768,4849,6891,8477,6821,3680
Belarus,SI3_AGG - MA - Manufactures,World,12903,12848,15660,17691,17802,16813
Belarus,SI3_AGG - MAIS - Iron and steel,World,927,750,1028,1322,1223,1034
Belarus,SI3_AGG - MACH - Chemicals,World,4784,3787,4345,5338,5225,4723
Belarus,SI3_AGG - MACHPH - Pharmaceuticals,World,148,162,208,244,286,320
Belarus,SI3_AGG - MAMT - Machinery and transport equipment,World,3298,3913,4985,5244,5438,5205
Belarus,SI3_AGG - MAMTOF - Office and telecom equipment,World,141,147,244,300,312,354
Belarus,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,25,23,48,40,64,57
Belarus,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,41,58,94,151,169,202
