Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,48013505.00,49362834.00,50752150.00,52202008.00,53741721.00,55385114.00,57157651.00,59034250.00,60918452.00,62679765.00,64232486.00,65531635.00,66625706.00,67637541.00,68742222.00,70066310.00,71652386.00,73463593.00,75450033.00,77529040.00,79639498.00,81767516.00,83932132.00,86142490.00,88416529.00,90764180.00,93187593.00,95671159.00,98186350.00,100695496.00,103171957.00,105599125.00,107983708.00,110350641.00,112737684.00,115169933.00,117649927.00,120160571.00,122682818.00,125189655.00,127657862.00,130088709.00,132478077.00,134791598.00,136986429.00,139035505.00,140921154.00,142660381.00,144304164.00,145924795.00,147575433.00,149273134.00,151005733.00,152761413.00,154517385.00,156256287.00,157977151.00,159685421.00,161376713.00,163046173.00,164689383.00
Bulgaria,7867374.00,7943118.00,8012946.00,8078145.00,8144340.00,8204168.00,8258057.00,8310226.00,8369603.00,8434172.00,8489574.00,8536395.00,8576200.00,8620967.00,8678745.00,8720742.00,8758599.00,8804183.00,8814032.00,8825940.00,8861535.00,8891117.00,8917457.00,8939738.00,8960679.00,8960547.00,8958171.00,8971359.00,8981446.00,8876972.00,8718289.00,8632367.00,8540164.00,8472313.00,8443591.00,8406067.00,8362826.00,8312068.00,8256786.00,8210624.00,8170172.00,8009142.00,7837161.00,7775327.00,7716860.00,7658972.00,7601022.00,7545338.00,7492561.00,7444443.00,7395599.00,7348328.00,7305888.00,7265115.00,7223938.00,7177991.00,7127822.00,7075947.00,7025037.00,6975761.00,6934015.00
Bahrain,162429.00,167899.00,173140.00,178142.00,182888.00,187432.00,191785.00,196060.00,200652.00,206037.00,212607.00,220311.00,229151.00,239527.00,251908.00,266540.00,283746.00,303169.00,323468.00,342804.00,359897.00,374120.00,385953.00,396451.00,407233.00,419428.00,433478.00,448981.00,465198.00,481081.00,495927.00,509762.00,523082.00,536212.00,549590.00,563698.00,578661.00,594927.00,613697.00,636540.00,664610.00,697550.00,735140.00,778708.00,829846.00,889157.00,958423.00,1035924.00,1114645.00,1185075.00,1240864.00,1278153.00,1299942.00,1315029.00,1336073.00,1371853.00,1425793.00,1494077.00,1569440.00,1641164.00,1701583.00
"Bahamas, The",109532.00,115119.00,121092.00,127340.00,133705.00,140060.00,146381.00,152621.00,158648.00,164265.00,169376.00,173894.00,177863.00,181519.00,185105.00,188895.00,192903.00,197100.00,201482.00,205991.00,210589.00,215321.00,220182.00,225095.00,229913.00,234579.00,239020.00,243265.00,247451.00,251738.00,256227.00,261007.00,266028.00,271065.00,275849.00,280179.00,283980.00,287363.00,290600.00,294063.00,298045.00,302618.00,307657.00,313123.00,318893.00,324848.00,331032.00,337387.00,343680.00,349600.00,354936.00,359583.00,363581.00,367162.00,370625.00,374200.00,377923.00,381749.00,385635.00,389486.00,393248.00
Bosnia and Herzegovina,3225664.00,3288604.00,3353228.00,3417573.00,3478999.00,3535632.00,3586630.00,3632678.00,3675448.00,3717476.00,3760536.00,3805286.00,3851153.00,3897259.00,3942221.00,3985107.00,4025271.00,4063188.00,4100355.00,4138816.00,4179850.00,4222479.00,4265183.00,4307907.00,4350566.00,4392135.00,4435925.00,4479516.00,4509462.00,4507819.00,4463422.00,4369320.00,4233673.00,4078940.00,3936527.00,3829049.00,3764419.00,3736070.00,3734338.00,3743353.00,3751176.00,3755514.00,3759389.00,3762179.00,3764194.00,3765332.00,3765422.00,3762791.00,3754261.00,3735945.00,3705478.00,3661173.00,3604972.00,3542598.00,3482106.00,3429362.00,3386263.00,3351534.00,3323929.00,3300998.00,3280815.00
Belarus,8198000.00,8271216.00,8351928.00,8437232.00,8524224.00,8610000.00,8696496.00,8785648.00,8874552.00,8960304.00,9040000.00,9115576.00,9188968.00,9257272.00,9317584.00,9367000.00,9411000.00,9463000.00,9525000.00,9584000.00,9643000.00,9710000.00,9776000.00,9843000.00,9910000.00,9975000.00,10043000.00,10111000.00,10140000.00,10170000.00,10189348.00,10194050.00,10216470.00,10239050.00,10226955.00,10193831.00,10159569.00,10117433.00,10071963.00,10026738.00,9979610.00,9928549.00,9865548.00,9796749.00,9730146.00,9663915.00,9604924.00,9560953.00,9527985.00,9504583.00,9483836.00,9461643.00,9446836.00,9443211.00,9448515.00,9461076.00,9469379.00,9458989.00,9438785.00,9419758.00,9379952.00
Belize,92068.00,94700.00,97392.00,100165.00,103069.00,106120.00,109348.00,112707.00,116065.00,119269.00,122184.00,124795.00,127152.00,129294.00,131305.00,133264.00,135143.00,136990.00,138975.00,141302.00,144142.00,147572.00,151486.00,155820.00,160341.00,164918.00,169569.00,174333.00,179023.00,183471.00,187554.00,191136.00,194324.00,197625.00,201679.00,206962.00,213660.00,221575.00,230248.00,238979.00,247310.00,255068.00,262387.00,269428.00,276516.00,283798.00,291338.00,299031.00,306822.00,314655.00,322465.00,330236.00,338001.00,345707.00,353366.00,360926.00,368399.00,375775.00,383071.00,390351.00,397621.00
Bermuda,44400.00,45500.00,46600.00,47700.00,48900.00,50100.00,51000.00,52000.00,53000.00,54000.00,55000.00,54600.00,54200.00,53800.00,53400.00,53000.00,53200.00,53400.00,53600.00,53800.00,54670.00,55050.00,55449.00,55930.00,56423.00,56898.00,57382.00,57849.00,58347.00,58841.00,59326.00,59021.00,58595.00,58910.00,59320.00,59746.00,60129.00,60497.00,60943.00,61285.00,61833.00,62504.00,62912.00,63325.00,63740.00,64154.00,64523.00,64888.00,65273.00,65636.00,65124.00,64564.00,64798.00,65001.00,65138.00,65237.00,64554.00,63873.00,63919.00,63913.00,63903.00
Bolivia,3656961.00,3728954.00,3802996.00,3879191.00,3957759.00,4038865.00,4122517.00,4208683.00,4297522.00,4389248.00,4484004.00,4581752.00,4682392.00,4785916.00,4892294.00,5001413.00,5113458.00,5228253.00,5344946.00,5462413.00,5579932.00,5697098.00,5814344.00,5932812.00,6054126.00,6179460.00,6309129.00,6442824.00,6580318.00,6721117.00,6864839.00,7011456.00,7160917.00,7312857.00,7466792.00,7622334.00,7779268.00,7937453.00,8096761.00,8257066.00,8418270.00,8580244.00,8742822.00,8905820.00,9069044.00,9232301.00,9395449.00,9558438.00,9721457.00,9884790.00,10048597.00,10212951.00,10377677.00,10542375.00,10706517.00,10869732.00,11031822.00,11192853.00,11353140.00,11513102.00,11673029.00
Brazil,72179235.00,74311338.00,76514329.00,78772647.00,81064572.00,83373533.00,85696502.00,88035815.00,90387079.00,92746607.00,95113265.00,97482928.00,99859388.00,102259497.00,104706193.00,107216209.00,109790943.00,112425392.00,115121158.00,117878412.00,120694012.00,123570327.00,126498322.00,129448815.00,132383569.00,135274083.00,138108915.00,140891606.00,143627505.00,146328305.00,149003225.00,151648007.00,154259382.00,156849086.00,159432717.00,162019889.00,164614682.00,167209046.00,169785253.00,172318674.00,174790339.00,177196051.00,179537523.00,181809244.00,184006479.00,186127108.00,188167353.00,190130445.00,192030362.00,193886505.00,195713637.00,197514541.00,199287292.00,201035904.00,202763744.00,204471759.00,206163056.00,207833825.00,209469320.00,211049519.00,212559409.00
Barbados,230985.00,231718.00,232623.00,233632.00,234588.00,235415.00,236084.00,236661.00,237241.00,237963.00,238895.00,240093.00,241523.00,243076.00,244643.00,246158.00,247584.00,248931.00,250200.00,251347.00,252388.00,253296.00,254078.00,254791.00,255493.00,256260.00,257117.00,258012.00,258970.00,259961.00,260933.00,261912.00,262890.00,263869.00,264893.00,265955.00,267047.00,268183.00,269334.00,270455.00,271511.00,272494.00,273423.00,274331.00,275283.00,276320.00,277475.00,278701.00,279946.00,281107.00,282131.00,282987.00,283698.00,284294.00,284825.00,285327.00,285798.00,286229.00,286640.00,287021.00,287371.00
Brunei Darussalam,81707.00,85560.00,89484.00,93540.00,97819.00,102390.00,107274.00,112446.00,117897.00,123596.00,129530.00,135672.00,142015.00,148516.00,155069.00,161635.00,168173.00,174717.00,181201.00,187596.00,193880.00,200027.00,206064.00,212073.00,218176.00,224440.00,230917.00,237565.00,244405.00,251456.00,258714.00,266208.00,273888.00,281684.00,289452.00,297112.00,304620.00,311962.00,319135.00,326214.00,333166.00,340037.00,346777.00,353295.00,359434.00,365112.00,370262.00,374967.00,379418.00,383902.00,388634.00,393687.00,398997.00,404414.00,409778.00,414914.00,419791.00,424481.00,428960.00,433296.00,437483.00
Bhutan,223284.00,228849.00,234552.00,240529.00,246961.00,253993.00,261664.00,269944.00,278731.00,287886.00,297307.00,306957.00,316822.00,326986.00,337491.00,348395.00,359721.00,371424.00,383324.00,395192.00,406883.00,418107.00,428938.00,439823.00,451471.00,464264.00,478683.00,494313.00,509532.00,522173.00,530801.00,534637.00,534525.00,532590.00,531905.00,534629.00,541471.00,551713.00,564378.00,577886.00,591014.00,603643.00,616025.00,627840.00,638809.00,648744.00,657404.00,664873.00,671611.00,678329.00,685502.00,693297.00,701582.00,710235.00,719053.00,727885.00,736706.00,745563.00,754396.00,763094.00,771612.00
Botswana,502733.00,512688.00,523777.00,535692.00,547870.00,559996.00,571957.00,584098.00,596946.00,611297.00,627714.00,646350.00,667096.00,689906.00,714701.00,741346.00,769982.00,800532.00,832467.00,865073.00,897860.00,930412.00,962859.00,996124.00,1031439.00,1069585.00,1110948.00,1154904.00,1200073.00,1244484.00,1286756.00,1326321.00,1363541.00,1399110.00,1434061.00,1469173.00,1504724.00,1540424.00,1575827.00,1610260.00,1643333.00,1674674.00,1704637.00,1734387.00,1765533.00,1799077.00,1835911.00,1875458.00,1915636.00,1953495.00,1987106.00,2015406.00,2039551.00,2062551.00,2088619.00,2120716.00,2159925.00,2205076.00,2254067.00,2303703.00,2351625.00
Central African Republic,1501668.00,1526057.00,1551908.00,1579375.00,1608618.00,1639706.00,1673019.00,1708306.00,1744198.00,1778870.00,1811157.00,1840517.00,1867786.00,1894850.00,1924386.00,1958367.00,1997017.00,2039914.00,2087662.00,2140778.00,2199359.00,2264441.00,2335339.00,2408322.00,2478382.00,2542170.00,2597765.00,2646836.00,2693974.00,2745735.00,2806740.00,2878507.00,2959236.00,3046148.00,3135017.00,3222662.00,3308235.00,3392432.00,3475485.00,3558019.00,3640421.00,3722016.00,3802129.00,3881185.00,3959883.00,4038380.00,4118075.00,4198004.00,4273368.00,4337623.00,4386765.00,4418639.00,4436411.00,4447945.00,4464171.00,4493171.00,4537683.00,4596023.00,4666375.00,4745179.00,4829764.00
Canada,17909009.00,18271000.00,18614000.00,18964000.00,19325000.00,19678000.00,20048000.00,20412000.00,20744000.00,21028000.00,21324000.00,21962032.00,22218463.00,22491777.00,22807969.00,23143275.00,23449808.00,23725843.00,23963203.00,24201544.00,24515667.00,24819915.00,25116942.00,25366451.00,25607053.00,25842116.00,26100278.00,26446601.00,26791747.00,27276781.00,27691138.00,28037420.00,28371264.00,28684764.00,29000663.00,29302311.00,29610218.00,29905948.00,30155173.00,30401286.00,30685730.00,31020902.00,31360079.00,31644028.00,31940655.00,32243753.00,32571174.00,32889025.00,33247118.00,33628895.00,34004889.00,34339328.00,34714222.00,35082954.00,35437435.00,35702908.00,36109487.00,36545236.00,37065084.00,37601230.00,38037204.00
Central Europe and the Baltics,91401764.00,92232738.00,93009498.00,93840016.00,94715795.00,95440988.00,96146336.00,97043270.00,97884022.00,98606630.00,99134548.00,99635258.00,100357161.00,101112680.00,101939916.00,102860571.00,103776068.00,104616884.00,105329397.00,105948616.00,106541316.00,107129392.00,107730380.00,108297837.00,108838073.00,109338285.00,109824166.00,110296425.00,110686740.00,110801640.00,110743128.00,110469467.00,110111454.00,110041924.00,110021594.00,109864246.00,109626194.00,109422013.00,109238340.00,109060951.00,108447824.00,107660041.00,106959751.00,106624167.00,106331716.00,106041911.00,105772481.00,105378748.00,105001883.00,104800475.00,104421447.00,104174038.00,103935318.00,103713726.00,103496179.00,103257886.00,102994278.00,102740078.00,102538451.00,102398494.00,102172351.00
